FHRSID,BusinessType,RatingValue,RatingDate,LocalAuthorityName,Hygiene,Structural,ConfidenceInManagement,Longitude,Latitude,Easting,Northing
294048,Restaurant/Cafe/Canteen,5,2023-02-02,City of London Corporation,5.0,0.0,5.0,-0.089031,51.512917,532701.3156293866,181062.91555985372
1210870,Restaurant/Cafe/Canteen,5,2023-11-29,City of London Corporation,0.0,5.0,0.0,-0.0805220007896423,51.5121307373047,533294.0082266346,180990.94176530832
1063318,Restaurant/Cafe/Canteen,4,2023-08-21,City of London Corporation,5.0,5.0,10.0,-0.101784,51.5178,531802.3529303117,181582.8728164817
1134946,Restaurant/Cafe/Canteen,5,2022-05-13,City of London Corporation,5.0,5.0,0.0,-0.0771797,51.5162042,533514.009987074,181450.00951192883
999699,Pub/bar/nightclub,4,2017-06-23,City of London Corporation,0.0,10.0,5.0,-0.07656,51.513351,533565.3479848857,181133.86077218264
1688528,Retailers - other,4,2024-01-05,City of London Corporation,0.0,10.0,10.0,-0.088778,51.517912,532704.3567362697,181618.82355744363
1571131,Pub/bar/nightclub,5,2022-11-22,City of London Corporation,5.0,5.0,5.0,-0.1000722,51.5185289,531919.0088212276,181667.01015995763
1731463,Restaurant/Cafe/Canteen,5,2024-06-04,City of London Corporation,5.0,5.0,0.0,-0.083339,51.5140299,533093.0136876852,181197.00377604977
1568295,Takeaway/sandwich shop,5,2024-07-09,City of London Corporation,0.0,0.0,0.0,-0.094462,51.517115,532312.3227656761,181519.9079804389
1410971,Restaurant/Cafe/Canteen,5,2023-03-21,City of London Corporation,5.0,5.0,0.0,-0.0860019,51.5149692,532905.5193934327,181296.61640454718
1136185,Other catering premises,5,2022-07-01,City of London Corporation,0.0,0.0,0.0,-0.02352299913764,51.506031036377,537267.2771525157,180417.96826657053
1618754,Takeaway/sandwich shop,5,2023-06-19,City of London Corporation,5.0,5.0,5.0,-0.0875301,51.5137566,532803.0150737356,181159.00100414414
1552277,School/college/university,5,2023-09-25,City of London Corporation,0.0,5.0,0.0,-0.0988257,51.5204241,532000.0091504088,181880.00502151408
294732,Restaurant/Cafe/Canteen,5,2022-04-27,City of London Corporation,5.0,5.0,0.0,-0.090288,51.52041,532592.3433074866,181893.86799577682
1416542,Restaurant/Cafe/Canteen,5,2021-12-14,City of London Corporation,5.0,0.0,5.0,-0.0860177,51.509955,532919.0128486974,180739.0025359303
534426,Takeaway/sandwich shop,5,2024-02-29,City of London Corporation,0.0,5.0,0.0,-0.102568,51.513514,531760.3229803683,181104.858174038
1684438,Restaurant/Cafe/Canteen,4,2024-02-23,City of London Corporation,5.0,5.0,10.0,-0.0767250000559788,51.5135800000307,533553.2300113374,181159.02472392103
294078,Takeaway/sandwich shop,5,2023-08-08,City of London Corporation,0.0,5.0,5.0,-0.090422,51.515826,532596.3557830903,181383.8792756255
295164,Pub/bar/nightclub,4,2022-03-14,City of London Corporation,0.0,10.0,5.0,-0.078944,51.509802,533410.3004462165,180734.85870021244
293701,Pub/bar/nightclub,5,2022-02-22,City of London Corporation,0.0,5.0,5.0,-0.089843,51.511761,532648.3314946288,180932.89608204796
